Molecule ChEMBL ID,Smiles (RDKit Mol),MACCS_sim_score,ECFP4_sim_score,MCSS_rdkit_sim_score,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles
CHEMBL4438905, ,0.927536231884058,0.5591397849462365,0.9736842105263158,IC50,'=',397.0,nM,CHEMBL4411272,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1
CHEMBL4286318, ,0.9420289855072463,0.7058823529411765,1.0,IC50,'=',1.4,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4434924, ,0.927536231884058,0.46,0.9736842105263158,IC50,'=',38.0,nM,CHEMBL4411272,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc(C)cc(-c2cn(C)c3ccccc23)n1
CHEMBL4444312, ,0.7586206896551724,0.39473684210526316,0.9736842105263158,IC50,'=',16.0,nM,CHEMBL4312015,CCC/C=C\C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CS(=O)(=O)CC3)c(OC)cc1N(C)CCN(C)C
CHEMBL4575583, ,0.6623376623376623,0.2636363636363636,0.6842105263157895,IC50,'=',1.0,nM,CHEMBL4354875,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3nc(SC)n(C)c3-c3ccc(F)cc3)ccn2)c1
CHEMBL3633141,,0.952,1.0,1.0,IC50,'=',15.0,nM,CHEMBL3632511,C=CC(=O)Nc1cc(Nc2cncc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4472983, ,0.8648648648648649,0.46534653465346537,0.9736842105263158,IC50,'=',388.0,nM,CHEMBL4411272,CC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4862351, ,0.6463414634146342,0.19130434782608696,0.5263157894736842,IC50,'=',0.2446,nM,CHEMBL4831496,CCOC(=O)c1ccccc1Nc1nc(Nc2ccc(OCC(=O)N3CCOCC3)cc2)ncc1Cl
CHEMBL5203821, ,0.9130434782608695,0.5208333333333334,0.9473684210526315,IC50,'=',360.0,nM,CHEMBL5137051,COc1cc(N(C)CCN(C)C)c(NC(=O)c2cccnc2)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1
CHEMBL4858409, ,0.5909090909090909,0.19642857142857142,0.5263157894736842,IC50,'=',16.04,nM,CHEMBL4831496,O=C(NO)c1ccccc1Nc1nc(Nc2ccc(OCC(=O)N3CCOCC3)cc2)ncc1Cl
CHEMBL4097141,,0.909,0.68,0.617,IC50,'=',4.9,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N1CC(N(C)C)C1
CHEMBL4527702, ,0.9014084507042254,0.5714285714285714,0.9736842105263158,IC50,'=',209.0,nM,CHEMBL4411272,COc1cc(N(C)CCN(C)C)c(NC(=O)C=C(C)C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1
CHEMBL4744138,,1.0,0.907,0.949,IC50,'=',2.09,nM,CHEMBL4706705,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C(C)=O)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL3938358, ,0.581081081081081,0.28,0.5789473684210527,IC50,'=',200.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)cc3OC)ncc2Cl)c1
CHEMBL4066170,,0.849,0.826,0.949,IC50,'=',10.2,nM,CHEMBL4043110,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CC[N+](C)(C)[O-]
CHEMBL4072620,,0.849,0.804,0.949,IC50,'=',17.8,nM,CHEMBL4043110,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4c(F)cccc34)n2)c(OC)cc1N(C)CC[N+](C)(C)[O-]
CHEMBL5196498, ,0.7875,0.25,0.7631578947368421,IC50,'=',33.03,nM,CHEMBL5113409,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(=O)CCCC(=O)Nc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3OC)ncc2C(F)(F)F)c1
